Respondent ID,Collector ID,Start Date,End Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),"Facebook co-founder Chris Hughes has called on the federal government to start anti-trust action against the company and to break it up, such as requiring it to spin off WhatsApp and Instagram as separate companies. Do you oppose or support anti-trust action against Facebook?",Age,Gender,Household Income,Region,Device Type
10723825446,233578950,2019-05-12 0:22:02,2019-05-12 0:26:35,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,Black or African American,I don't know,18-29,Male,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
10723824729,233578950,2019-05-12 0:20:31,2019-05-12 0:27:43,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Strongly support,30-44,Male,"$50,000-$74,999",Mountain,iOS Phone / Tablet
10723822990,233578950,2019-05-12 0:16:42,2019-05-12 0:20:41,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Neither support nor oppose,30-44,Male,"$50,000-$74,999",West South Central,Android Phone / Tablet
10723817316,233578950,2019-05-12 0:04:17,2019-05-12 0:08:40,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately conservative,Yes,White or Caucasian,Somewhat oppose,18-29,Male,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10723812608,233578950,2019-05-11 23:54:03,2019-05-11 23:57:15,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Neither support nor oppose,18-29,Female,"$25,000-$49,999",East South Central,Android Phone / Tablet
10723801352,233578950,2019-05-11 23:31:14,2019-05-11 23:35:31,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,No,White or Caucasian,I don't know,30-44,Female,"$50,000-$74,999",East North Central,iOS Phone / Tablet
10723794023,233578950,2019-05-11 23:17:40,2019-05-11 23:22:17,I don't know or I'd rather not say,Moderately liberal,No,Black or African American,Neither support nor oppose,18-29,Male,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
10723782605,233578950,2019-05-11 22:57:32,2019-05-11 23:02:04,"Yes, I will likely vote in my state's Democratic primary or caucus",I don't know or I'd rather not say,Yes,Asian or Asian American,Oppose,18-29,Male,"$0-$9,999",West South Central,iOS Phone / Tablet
10723782318,233578950,2019-05-11 22:57:23,2019-05-11 22:58:38,I don't know or I'd rather not say,Neither liberal nor conservative,No,Asian or Asian American,Neither support nor oppose,18-29,Male,"$10,000-$24,999",New England,iOS Phone / Tablet
10723780271,233578950,2019-05-11 22:53:53,2019-05-11 22:57:26,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Slightly liberal,Yes,White or Caucasian,Somewhat support,18-29,Male,"$10,000-$24,999",West North Central,iOS Phone / Tablet
10723779866,233578950,2019-05-11 22:53:20,2019-05-11 22:54:33,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly conservative,Yes,Asian or Asian American,Somewhat support,30-44,Male,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10723779845,233578950,2019-05-11 22:53:13,2019-05-11 22:56:37,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Yes,Asian or Asian American,Strongly oppose,30-44,Male,Prefer not to answer,Pacific,Android Phone / Tablet
10723779786,233578950,2019-05-11 22:52:57,2019-05-11 22:58:27,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,Another race,Strongly support,,,,,
10723779673,233578950,2019-05-11 22:52:41,2019-05-11 22:58:26,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,Black or African American,Neither support nor oppose,,,,,
10723777954,233578950,2019-05-11 22:49:35,2019-05-11 22:52:37,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,Hispanic or Latino,Somewhat oppose,30-44,Male,"$25,000-$49,999",West South Central,Android Phone / Tablet
10723777478,233578950,2019-05-11 22:48:53,2019-05-11 22:50:32,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly conservative,Unsure / Don’t know,White or Caucasian,I don't know,18-29,Male,"$0-$9,999",Mountain,iOS Phone / Tablet
10723768668,233578950,2019-05-11 22:32:42,2019-05-11 22:34:41,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,,,,,,
10723766439,233578950,2019-05-11 22:28:41,2019-05-11 22:34:48,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Strongly support,30-44,Male,"$10,000-$24,999",West South Central,iOS Phone / Tablet
10723765637,233578950,2019-05-11 22:27:04,2019-05-11 22:31:44,I don't know or I'd rather not say,Moderately liberal,Yes,White or Caucasian,Support,,,,,
10723762579,233578950,2019-05-11 22:21:36,2019-05-11 22:27:13,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Strongly support,,,,,
10723758897,233578950,2019-05-11 22:14:52,2019-05-11 22:16:05,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Oppose,18-29,Male,"$200,000+",Pacific,iOS Phone / Tablet
