Respondent ID,Collector ID,Start Date,End Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Who do you think you will vote for in the 2020 general election?,What should the consequences be for a public official who encourages a foreign power to intervene in an upcoming domestic election in their favor?,Impeachment is the first step in the process of removing a president from office. Do you think the House of Representatives should impeach President Trump?,How familiar would you say you are with the situation stemming from President Trump's conversation with Ukrainian President Zelensky related to Democratic candidate Joe Biden?,Do you believe launching a formal impeachment inquiry into President Trump will overall work out in Democrats' favor electorally?,Do you believe launching a formal impeachment inquiry into President Trump for soliciting foreign interference in a US election is the right thing to do?,Age,Gender,Household Income,Region,Device Type
11021442468,247023108,2019-09-26 08:22:33,2019-09-26 08:31:28,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I support impeachment,Not so familiar,Probably would,Probably yes,45-60,Male,"$125,000-$149,999",West South Central,iOS Phone / Tablet
11021440222,247023108,2019-09-26 08:28:11,2019-09-26 08:30:34,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Extremely familiar,I don't know,Definitely yes,45-60,Male,"$25,000-$49,999",East North Central,iOS Phone / Tablet
11021439694,247023108,2019-09-26 08:24:47,2019-09-26 08:30:20,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Probably would,Definitely yes,> 60,Male,"$10,000-$24,999",Mountain,iOS Phone / Tablet
11021434575,247023108,2019-09-26 08:27:37,2019-09-26 08:30:08,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,Black or African American,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Somewhat familiar,I don't know,I don't know,45-60,Male,"$100,000-$124,999",West South Central,Windows Desktop / Laptop
11021433992,247023108,2019-09-26 08:24:31,2019-09-26 08:28:00,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I oppose impeachment,Extremely familiar,Definitely would not,Definitely not,> 60,Male,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
11021432573,247023108,2019-09-26 08:27:02,2019-09-26 08:30:20,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I don't know,I strongly oppose impeachment,Very familiar,Definitely would not,Definitely not,45-60,Male,"$125,000-$149,999",South Atlantic,Windows Desktop / Laptop
11021432001,247023108,2019-09-26 08:26:52,2019-09-26 08:29:30,"Yes, I will likely vote in my state's Democratic primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Somewhat familiar,Probably would,Definitely not,45-60,Male,"$175,000-$199,999",South Atlantic,Windows Desktop / Laptop
11021431261,247023108,2019-09-26 08:24:16,2019-09-26 08:26:54,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would not,Definitely yes,45-60,Male,"$100,000-$124,999",New England,Android Phone / Tablet
11021430642,247023108,2019-09-26 08:26:18,2019-09-26 08:28:47,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Somewhat familiar,Probably would not,Probably not,> 60,Male,"$175,000-$199,999",South Atlantic,Windows Desktop / Laptop
11021427198,247023108,2019-09-26 08:23:59,2019-09-26 08:28:02,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,,,,,,,,,,
