Respondent ID,Start Date,End Date,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Do you think you will participate in the 2020 presidential primary?,Have you had student loans?,"A proposal would cancel $50,000 of student loan debt for those in households making less than $100,000 per year. For households earning between with $100,000 and $250,000, the proposal would cancel a sliding amount of student loan debt. Those earning $250,000 or more would not have debt cancelled. The plan would also end the taxation of canceled debt as income, and would make private loans eligible for debt cancellation.How do you feel about this plan?",Age,Gender,Household Income,Region,Device Type
10691297379,2019-04-27 6:58:13,2019-04-27 7:05:59,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Somewhat oppose,> 60,Male,"$25,000-$49,999",Pacific,Windows Desktop / Laptop
10691294505,2019-04-27 6:54:21,2019-04-27 6:58:12,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,> 60,Male,"$200,000+",South Atlantic,Windows Desktop / Laptop
10691294212,2019-04-27 6:53:23,2019-04-27 7:29:38,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus",,,,,,,
10691294169,2019-04-27 6:53:40,2019-04-27 6:56:18,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Somewhat support,45-60,Male,"$200,000+",South Atlantic,iOS Phone / Tablet
10691293974,2019-04-27 6:53:21,2019-04-27 6:56:16,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Somewhat oppose,> 60,Male,"$50,000-$74,999",West South Central,Android Phone / Tablet
10691289574,2019-04-27 6:25:34,2019-04-27 6:50:54,Slightly conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Somewhat support,45-60,Male,"$125,000-$149,999",South Atlantic,Windows Desktop / Laptop
10691288419,2019-04-27 6:44:57,2019-04-27 6:49:15,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,> 60,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10691288018,2019-04-27 6:43:56,2019-04-27 6:48:43,Moderately conservative,Yes,Black or African American,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, but I finished paying off those loans.",Strongly support,45-60,Male,"$150,000-$174,999",Middle Atlantic,iOS Phone / Tablet
10691285804,2019-04-27 6:41:03,2019-04-27 6:43:48,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,45-60,Male,Prefer not to answer,East North Central,iOS Phone / Tablet
10691285271,2019-04-27 6:40:11,2019-04-27 6:44:53,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Support,45-60,Male,"$75,000-$99,999",Middle Atlantic,iOS Phone / Tablet
